"Symbol";"Value";"Unit";
"REFERENCE";"R2-0354-40/B00";"";
"DIAMETER";"35";"mm";
"TraceParts.PartVersion";"1.0.6";"";
"SUPPLIER";"ROTACASTER";"";
"WHEEL_MATERIAL";"TPE Roller";"";
"MASS";"0.0124";"kg";
"TraceParts.PartNumber";"33-03092021-067742";"";
"BODY_MATERIAL";"ABS Body";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Rotacaster 35mm, Double, TPE Roller, ABS Body, 8.2 mm Bore, No Bushing, R2-0354-40/B00";"";
"TraceParts.InstanceId";"33-03092021-0677427IMRQ3NVP31JZXC13PJE2F0KI";"";
"TraceParts.PartTitle";"Rotacaster 35mm";"";
"OMNICLASS23";"23.27.17.00";"";
"KEY";"8.2 mm Bore, No Bushing";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"ROTACASTER:33-03092021-067742";"";
"TraceParts.PartStatus";"Published";"";
